,id,names,date
0,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,"D Abadi, D Carney, U Ã‡etintemel, M Cherniack, C Convey, C Erwin, E Galvez, M Hatoun, A Maskey, A Rasin, A Singer, M Stonebraker, N Tatbul, Y Xing, R Yan, S Zdonik",2018-12-22
1,conf/sigmod/AbiteboulBCMM03,"S Abiteboul, A Bonifati, G Cobena, I Manolescu, T Milo",2018-12-21
2,conf/sigmod/Aggarwal03,C Aggarwal,2018-12-26
3,conf/sigmod/AgichteinG03,"E Agichtein, L Gravano",2018-12-19
4,conf/sigmod/Aggarwal02,C Aggarwal,2018-12-04
5,conf/sigmod/AbadiC02,"D Abadi, M Cherniack",2018-12-19
6,conf/sigmod/AfratiLU01,"F Afrati, C Li, J Ullman",2018-12-09
7,conf/sigmod/AgichteinGV01,"E Agichtein, L Gravano, J Pavel, V Sokolova, A Voskoboynik",2018-12-08
8,conf/sigmod/AggarwalY01,"C Aggarwal, P Yu",2018-12-07
9,conf/sigmod/AdiBEY01,"A Adi, D Botzer, O Etzion, T Yatzkar-Haham",2018-12-23
10,conf/sigmod/AggarwalY00,"C Aggarwal, P Yu",2018-12-19
11,conf/sigmod/AcharyaGP00,"S Acharya, P Gibbons, V Poosala",2018-12-15
12,conf/sigmod/AggarwalPWYP99,"C Aggarwal, C Procopiuc, J Wolf, P Yu, J Park",2018-12-07
13,conf/sigmod/AggarwalWY99,"C Aggarwal, J Wolf, P Yu",2018-12-08
14,conf/sigmod/AdaliSS99,"S Adali, M Sapino, V Subrahmanian",2018-12-12
15,conf/sigmod/AcharyaGPR99a,"S Acharya, P Gibbons, V Poosala, S Ramaswamy",2018-12-22
16,conf/sigmod/AboulnagaC99,"A Aboulnaga, S Chaudhuri",2018-12-11
17,conf/sigmod/AcharyaPR99,"S Acharya, V Poosala, S Ramaswamy",2018-12-13
18,conf/sigmod/AdelbergD99,"B Adelberg, M Denny",2018-12-22
19,conf/sigmod/AcharyaGPR99,"S Acharya, P Gibbons, V Poosala, S Ramaswamy",2018-12-27
20,conf/sigmod/AdaliBSS98,"S Adali, P Bonatti, M Sapino, V Subrahmanian",2018-12-25
21,conf/sigmod/AdamY98,"N Adam, Y Yesha",2018-12-10
22,conf/sigmod/Adelberg98,B Adelberg,2018-12-30
23,conf/sigmod/AcharyaFZ97,"S Acharya, M Franklin, S Zdonik",2018-12-17
24,conf/sigmod/AdelbergGW97,"B Adelberg, H Garcia-Molina, J Widom",2018-12-16
25,conf/sigmod/AdaliCPS96,"S Adali, K Candan, Y Papakonstantinou, V Subrahmanian",2018-12-12
26,conf/sigmod/AchyutuniON96,"K Achyutuni, E Omiecinski, S Navathe",2018-12-30
27,conf/sigmod/Agarwal96,R Agarwal,2018-12-23
28,conf/sigmod/AdyaGLM95,"A Adya, R Gruber, B Liskov, U Maheshwari",2018-12-19
29,conf/sigmod/AcharyaAFZ95,"S Acharya, R Alonso, M Franklin, S Zdonik",2018-12-02
30,conf/sigmod/AdelbergGK95,"B Adelberg, H Garcia-Molina, B Kao",2018-12-13
31,conf/sigmod/AbiteboulCM95,"S Abiteboul, S Cluet, T Milo",2018-12-01
